Time [s],MOSI,MISO
2.18842, 0x00, 0xFF
2.188609917, 0x00, 0xFF
2.188669333, 0x00, 0xFF
2.188728583, 0x00, 0x9C
2.194027667, 0x00, 0xA5
2.194150167, 0x09, 0xFF
2.1942135, 0x4E, 0xFF
2.194279917, 0x00, 0xFF
2.194346417, 0x00, 0xFF
2.194412833, 0xF7, 0xFF
2.194479333, 0x01, 0xFF
2.19454575, 0x09, 0xFF
2.1946125, 0x64, 0xFF
2.1946795, 0x00, 0xFF
2.1947465, 0xFF, 0xFF
2.1948135, 0xFF, 0xFF
2.194881667, 0x79, 0xFF
2.432447833, 0x00, 0xA4
2.432503083, 0x00, 0x03
2.4325605, 0x00, 0x40
2.432619917, 0x00, 0x00
2.43268625, 0x00, 0x01
2.432745583, 0x00, 0x03
2.432804833, 0x00, 0xE5
2.43455025, 0x00, 0xA5
2.434622333, 0x09, 0xFF
2.434688833, 0x4E, 0xFF
2.43474675, 0x00, 0xFF
2.434804583, 0x00, 0xFF
2.4348625, 0xF4, 0xFF
2.434920417, 0x01, 0xFF
2.435036167, 0x09, 0xFF
2.435094083, 0x64, 0xFF
2.435151917, 0x00, 0xFF
2.435209833, 0xFF, 0xFF
2.43526775, 0xFF, 0xFF
2.43532675, 0x7A, 0xFF
2.4368155, 0x00, 0xA4
2.43687075, 0x00, 0x09
2.436928167, 0x00, 0x4E
2.436987583, 0x00, 0x00
2.437047, 0x00, 0x80
2.437106333, 0x00, 0xFF
2.437165583, 0x00, 0xFF
2.437225, 0x00, 0xFF
2.437284417, 0x00, 0xFF
2.437343667, 0x00, 0xFF
2.437403083, 0x00, 0xFF
2.437462417, 0x00, 0xFF
2.43752175, 0x00, 0x9C
2.438919833, 0x00, 0xA5
2.438991583, 0x09, 0xFF
2.439046417, 0x4E, 0xFF
2.43910425, 0x00, 0xFF
2.439335917, 0x00, 0xFF
2.439393833, 0xF4, 0xFF
2.43945175, 0x01, 0xFF
2.439509667, 0x09, 0xFF
2.440231917, 0x64, 0xFF
2.440299, 0x00, 0xFF
2.440366, 0xFF, 0xFF
2.440433, 0xFF, 0xFF
2.440501167, 0x7A, 0xFF
2.441884083, 0x00, 0xA5
2.442005667, 0x09, 0xFF
2.442069, 0x4E, 0xFF
2.442135417, 0x00, 0xFF
2.442201833, 0x00, 0xFF
2.442268333, 0xF4, 0xFF
2.44233475, 0x01, 0xFF
2.44240125, 0x09, 0xFF
2.442467917, 0x64, 0xFF
2.442534917, 0x00, 0xFF
2.442602, 0xFF, 0xFF
2.442669083, 0xFF, 0xFF
2.442737167, 0x7A, 0xFF
2.682641, 0x00, 0xA4
2.68271, 0x00, 0x03
2.682767417, 0x00, 0x40
2.68282675, 0x00, 0x00
2.682886167, 0x00, 0x01
2.682945417, 0x00, 0x03
2.683004667, 0x00, 0xE5
2.684652417, 0x00, 0xA5
2.684805, 0x09, 0xFF
2.684859667, 0x4E, 0xFF
2.6849175, 0x00, 0xFF
2.684975417, 0x00, 0xFF
2.685033333, 0xF6, 0xFF
2.685091167, 0x01, 0xFF
2.685149083, 0x09, 0xFF
2.6852695, 0x64, 0xFF
2.685327417, 0x00, 0xFF
2.68538525, 0xFF, 0xFF
2.685443167, 0xFF, 0xFF
2.685502167, 0x78, 0xFF
2.686853167, 0x00, 0xA5
2.6869255, 0x09, 0xFF
2.686980167, 0x4E, 0xFF
2.687038, 0x00, 0xFF
2.687095917, 0x00, 0xFF
2.687153833, 0xF6, 0xFF
2.68721175, 0x01, 0xFF
2.687269583, 0x09, 0xFF
2.6873275, 0x64, 0xFF
2.687385417, 0x00, 0xFF
2.68744325, 0xFF, 0xFF
2.687501167, 0xFF, 0xFF
2.687560167, 0x78, 0xFF
2.688254833, 0x00, 0xA4
2.688310167, 0x00, 0x09
